name,city,state,address,phone,website,rating,reviews_count,category,subtypes,latitude,longitude,postal_code,source,confirmed,confidence,place_id,photo,reviews_link,booking_link,maps_link,verified
The Raisig Clinic And Wellness Center,East Ellijay,GA,"60 Highland Court, East Ellijay, GA 30540",7066983627,,,,,,,,,vo2master,True,high,,,,,,
Robert Huizenga MD,Beverly Hills,CA,"415 N Crescent, 200, Beverly Hills, CA 90211",3103672066,,,,,,,,,vo2master,True,high,,,,,,
Morvant Endurance,Shreveport,LA,"2147 Pine Hill Rd, Shreveport, LA 71107",3185643016,,,,,,,,,vo2master,True,high,,,,,,
Permanence Health,San Antonio,TX,"20655 W Interstate 10, Unit 105, San Antonio, TX 78257",3055273945,,,,,,,,,vo2master,True,high,,,,,,
A-Line Health,Whitefish,MT,"1828 Baker Avenue, Whitefish, MT 59937",7196611952,,,,,,,,,vo2master,True,high,,,,,,
The Practice: Habits for Healthspan,Greenwich,CT,"334 Pemberwick Road, Greenwich, CT 06831",2032448404,,,,,,,,,vo2master,True,high,,,,,,
Peak Performance Medicine,Erie,PA,"6023 West Ridge Road, Erie, PA 16506",4403446662,,,,,,,,,vo2master,True,high,,,,,,
RX FIT,Port Washington,NY,"57-61 Manorhaven Blvd, Port Washington, NY 11050",5162127353,,,,,,,,,vo2master,True,high,,,,,,
Max Heart Health,Beverly Hills,CA,"9777 Wilshire Blvd Suite 510, Beverly Hills, CA 90212",3104992684,,,,,,,,,vo2master,True,high,,,,,,
Delta Performance and Rehab,Pembroke Pines,FL,"200 SW 172nd Ave, Pembroke Pines, FL 33029",7542333907,,,,,,,,,vo2master,True,high,,,,,,
3PT,Mokena,IL,"19807 S La Grange Rd., Mokena, IL 60448",7089383378,,,,,,,,,vo2master,True,high,,,,,,
John (testing facility),Hayden,ID,"265 West Prairie Shopping Center, Hayden, ID 83835",2086992136,,,,,,,,,vo2master,True,high,,,,,,
DexaFit Atlanta,Atlanta,GA,,1714054204,https://www.atlanta.dexafit.com,,,,,,,,dexafit,,,,,,,,
DexaFit Boston,Boston,MA,"799 Concord Ave, Cambridge, MA 02138",1716924215,https://www.boston.dexafit.com,,,,,,,,dexafit,,,,,,,,
DexaFit Fort Lauderdale,Fort Lauderdale,FL,"9660 W Sample Rd #203, Coral Springs, FL 33065",1715890371,https://www.broward.dexafit.com,,,,,,,,dexafit,,,,,,,,
DexaFit Cincinnati,Cincinnati,OH,,1727023737,https://www.cincinnati.dexafit.com,,,,,,,,dexafit,,,,,,,,
DexaFit Clear Lake,Clear Lake,TX,,,https://www.clearlake.dexafit.com,,,,,,,,dexafit,,,,,,,,
